,"Найменування об’єкта (заходу), його місцезнаходження",Обсяг субвенції тис. Гривень
Житомирська область,"Придбання інтерактивної дошки, бойлера, принтера, електроплити для Кулішівської ЗОШ","34,5"
Житомирська область,Придбання телевізора для Малоглумчанської ЗОШ,13
Житомирська область,"Придбання центробіжного насосу, музичного центру для Медведівської ЗОШ",16
Житомирська область,"Придбання телевізора, морозильної камери, бойлера, музичного центру для Миколаївської ЗОШ",34
Житомирська область,Придбання пічного обладнання (булер’ян) для ФАПу в с. Мокляки,4
Житомирська область,"Придбання телевізора, електроплити для Мокляківської ЗОШ",24
Житомирська область,"Придбання телевізора, центробіжного насоса для Бастово-Руднянської ЗОШ",15
Житомирська область,Придбання мультимедійного проектора для Неділищенської ЗОШ,15
Житомирська область,Придбання комплекту парт для Осівської ЗОШ,7
Житомирська область,Придбання обладнання для клубу в с. Осівка,8
Житомирська область,"Придбання комплекту стільців в актовий зал, принтера для Підлубівської ЗОШ",34
Житомирська область,"Придбання комплекту меблів для класу (13 парт, 28 стільців, стіл для вчителя, стілець для вчителя) для Рихальської ЗОШ",19
Житомирська область,"Придбання мультимедійного проектора, екрана, радіомікрофонів із стійками для будинку культури, с. Рихальське",19
Житомирська область,"Придбання проектора, телевізора для Руднє-Іванівської ЗОШ",25
Житомирська область,"Придбання ноутбука, принтера, телевізора для Рясненської ЗОШ",32
Житомирська область,"Придбання електроплити, телевізора, морозильної камери для Сербівської ЗОШ",41
Житомирська область,Придбання електроплити для Яблунівської ЗОШ,11
Житомирська область,"Придбання електроплити, мультимедійного проектора для Сербо-Слобідської ЗОШ",11
Житомирська область,"Придбання ноутбука для будинку культури, с. Сербо-Слобідка",7
Житомирська область,"Придбання інтерактивної дошки, комплекту підсилювач з колонками, мікрофонами та стійками, електроплити, холодильника для Сергіївської ЗОШ","46,6"
Житомирська область,"Придбання електроплити, телевізора, морозильної камери для Середівської ЗОШ",38
Житомирська область,Придбання музичного центру для Симонівської ЗОШ,10
Житомирська область,"Придбання ноутбука та комплекту стільців для будинку культури, с. Симони","11,2"
Житомирська область,"Придбання бойлера, принтера, насосної станції для Сімаківської ЗОШ",15
Житомирська область,Придбання сценічних костюмів для учасників художньої самодіяльності будинку культури с. Сімаківка,18
Житомирська область,"Придбання інтерактивної дошки, комплекту музичного обладнання для Степанівської ЗОШ",19
Житомирська область,"Придбання комплекту меблів (столи, стільці, шафи) та світлового обладнання для будинку культури в с. Степанівка",19
Житомирська область,"Придбання комплекту підсилювач з колонками, мікрофонами та стійками для Тайківської ЗОШ",13
Житомирська область,Придбання комплекту музичного обладнання для будинку культури с. Усолуси,20
Житомирська область,"Придбання комплекту меблів для класу для Яблунецької ЗОШ (10 парт, 20 стільців, стіл для вчителя, стілець для вчителя)",13
Житомирська область,"Придбання обладнання та інвентарю для дитячого садка, смт Яблунець",20
Житомирська область,"Придбання медичного обладнання (фетальний монітор, кардіомонітор, кардіограф 12-канальний, біоаналізатор) для Ємільчинської центральної районної лікарні",211
Житомирська область,Придбання медичного обладнання (2 електрокардіографи) для амбулаторій загальної практики та сімейної медицини в с. Підлуби та с. Андрієвичі,"66,1"
Житомирська область,"Капітальний ремонт приміщень, заміна віконних та дверних блоків Барвинівського Будинку культури по вул. Шевчуків, 36, в с. Барвинівка Новоград-Волинського району Житомирської області","42,4"
Житомирська область,"Придбання котла для АЗПСМ, с. Броницька Гута","42,4"
Житомирська область,"Придбання обладнання для дошкільного навчального закладу, Великогорбашівська сільська рада","42,4"
Житомирська область,"Капітальний ремонт Будинку культури, с. Гульськ Новоград-Волинського району Житомирської області","42,4"
Житомирська область,"Капітальний ремонт сільського клубу, с. Борисівка Новоград-Волинського району Житомирської області","42,4"
Житомирська область,"Заміна системи опалення в ДНЗ “Сонечко”, Жолобненська сільська рада","42,4"
Житомирська область,Придбання обладнання в установи Кам’яномайданської сільської ради,"42,4"
Житомирська область,Капітальний ремонт приміщення Киківської АЗПСМ,"42,4"
Житомирська область,"Придбання обладнання для ДНЗ та ЗОШ, Киянська сільська рада","42,4"
Житомирська область,"Капітальний ремонт вуличного освітлення, с. Кленова Новоград-Волинського району Житомирської області","42,4"
Житомирська область,Придбання обладнання в установи Колодянської сільської ради,"42,4"
Житомирська область,"Капітальний ремонт вуличного освітлення, с. Крайня Деражня Новоград-Волинського району Житомирської області","42,4"
Житомирська область,Придбання обладнання в установи Красилівської сільської ради,"42,4"
Житомирська область,"Придбання обладнання для клубу, Курчицька сільська рада","42,4"
Житомирська область,"Капітальний ремонт будівлі дитячого садочка, с. Яворівка Новоград-Волинського району Житомирської області","42,4"
Житомирська область,"Придбання обладнання в сільський клуб, с. Анастасівка","42,4"
Житомирська область,Придбання обладнання в установи Майстрівської сільської ради,"42,4"
Житомирська область,Придбання обладнання в установи Малоцвілянської сільської ради,"42,4"
Житомирська область,Придбання обладнання в установи Наталівської сільської ради,"42,4"
Житомирська область,"Капітальний ремонт даху будівлі сільської ради по вул. Миру, 77 “А”, с. Несолонь Новоград-Волинського району Житомирської області","42,4"
Житомирська область,"Придбання обладнання, стільців для Слободороманівського клубу","42,4"
Житомирська область,"Капітальний ремонт в ДНЗ “Ромашка”, с. Орепи Новоград-Волинського району Житомирської області","42,4"
Житомирська область,"Придбання обладнання для ДНЗ, Пилиповицька сільська рада","42,4"
Житомирська область,"Придбання обладнання для ДНЗ, Піщівська сільська рада","42,4"
Житомирська область,"Капітальний ремонт вуличного освітлення, с. Повчине Новоград-Волинського району Житомирської області","42,4"
Житомирська область,Придбання обладнання в установи Поліянівської сільської ради,"42,4"
Житомирська область,"Капітальний ремонт сільської амбулаторії, Середньодеражнянська сільська рада","42,4"
Житомирська область,"Капітальний ремонт фельдшерських пунктів, Стриївська сільська рада","42,4"
Житомирська область,Придбання обладнання для Суслівського ДНЗ,"42,4"
Житомирська область,"Капітальний ремонт Будинку культури, с. Суховоля Новоград-Волинського району Житомирської області","42,4"
Житомирська область,"Капітальний ремонт ФП, с. Тернівка","42,4"
Житомирська область,"Придбання обладнання в ДНЗ, с. Токарів Новоград-Волинського району Житомирської області","42,4"
Житомирська область,"Придбання обладнання в дитячий садочок, с. Тупальці","42,4"
Житомирська область,Придбання обладнання Федорівському ДНЗ,"42,4"
Житомирська область,Придбання обладнання в установи Червоновільської сільської ради,"42,4"
Житомирська область,"Придбання обладнання для сільського будинку культури, Чижівська сільська рада","42,4"
Житомирська область,Капітальний ремонт Ярунського ДНЗ,"42,4"
Житомирська область,"Придбання обладнання для селищного Будинку культури, Городницька сільська рада","42,4"
Житомирська область,"Капітальний ремонт даху Будинку культури по вул. Миру, 96, с. Несолонь Новоград-Волинського району",300
Житомирська область,Капітальний ремонт адмінприміщення Стрієвської сільської ради Новоград-Волинського району,290
Житомирська область,"Капітальний ремонт фельдшерського пункту, с. Тальки Новоград-Волинського району",300
Житомирська область,"Капітальний ремонт системи водопостачання АЗПСМ, с. Романівка Новоград-Волинського району",299
Житомирська область,"Капітальний ремонт зовнішнього водогону ДНЗ “Сонечко”, с. Великий Молодьків Новоград-Волинського району Житомирської області",150
Житомирська область,"Будівництво котельні на твердому паливі та облаштування системи опалення в дошкільному навчальному закладі, с. Ярунь Новоград-Волинського району","505,300"
Житомирська область,"Капітальний ремонт будинку культури, с. Жолобне Новоград-Волинського району",300
Житомирська область,"Капітальний ремонт ФП, с. Кропивня Новоград-Волинського району","91,411"
Житомирська область,"Капітальний ремонт клубу, с. Видумка Пулинського району Житомирської області","42,4"
Житомирська область,"Капітальний ремонт дошкільного навчального закладу, с. Великий Луг Пулинського району Житомирської області","42,4"
Житомирська область,"Капітальний ремонт в Івановицькій ЗОШ I-III ступеня (заміна вікон), с. Івановичі Пулинського району Житомирської області","169,6"
Житомирська область,"Капітальний ремонт вуличного освітлення, с. Сколобів, Вязовець Пулинського району Житомирської області","42,4"
Житомирська область,"Капітальний ремонт клубу (заміна вікон), с. Корчівка Пулинського району Житомирської області","42,4"
Житомирська область,Придбання насосів для КНС та очисних споруд Соколівського КБОП Пулинського району Житомирської області,"42,4"
Житомирська область,"Капітальний ремонт їдальні дошкільного навчального закладу, с. Тетірка Пулинського району Житомирської області","42,4"
Житомирська область,"Придбання насоса для КНС № 1, смт Пулини Житомирської області","42,4"
Житомирська область,"Будівництво водогінної мережі по вул. Шкільна, Зелена, Короткевича та Польова в с. Тютюнники Чуднівського району, Житомирської області",100
Житомирська область,Капітальний ремонт приміщення інфекційного відділення Олевської центральної районної лікарні м. Олевськ,"214,2"
Житомирська область,"Капітальний ремонт Небізького НВК за адресою: с. Небіж, вул. Кутузова, 3, Новоборівської селищної ради, Хорошівського району, Житомирської області","209,568"
Житомирська область,Будівництво інженерних мереж (системи підвідного газопроводу) до с. Городок Ружинського району,195
Житомирська область,Будівництво інженерних мереж (системи підвідного газопроводу) до с. Огіївка Ружинського району,195
Закарпатська область,Закарпатська область,"70,087,064"
Закарпатська область,"Капітальний ремонт вул. Закарпатської, м. Ужгород",2700
Закарпатська область,"Капітальний ремонт вул. Собранецької (від вул. Підгірної до вул. Митної), м. Ужгород",3000
Закарпатська область,"Капітальний ремонт вул. Миру, с. Худльово Ужгородського району","1,329,031"
Закарпатська область,"Капітальний ремонт вул. № 1, с. Ярок Ужгородського району","310,2"
Закарпатська область,"Капітальний ремонт вул. № 11, с. Ярок Ужгородського району","440,4"
Закарпатська область,"Капітальний ремонт вул. Перемоги, с. Р. Комарівці Ужгородського району","388,823"
Закарпатська область,"Капітальний ремонт вул. Жовтневої, с. Р. Комарівці Ужгородського району","246,604"
Закарпатська область,"Капітальний ремонт вул. Петефі, с. Холмець Ужгородського району","408,949"
Закарпатська область,"Капітальний ремонт вул. Запотоцької, с. Пацканьово Ужгородського району","309,602"
Закарпатська область,"Капітальний ремонт вул. Побічної від буд. 1 до буд. 82, с. Лінці Ужгородського району",750
Закарпатська область,"Капітальний ремонт дороги по вул. Вербовій, с. Червоне Ужгородського району","535,901"
Закарпатська область,"Будівництво продовження вул. Кошута, с. Сюрте Ужгородського району",620
Закарпатська область,"Капітальний ремонт вул. № 1, с. Стрипа Ужгородського району","200,7"
Закарпатська область,"Капітальний ремонт вул. Шкільної, с. Анталовці Ужгородського району","249,238"
Закарпатська область,"Капітальний ремонт фасадів (заміна вікон) класичної гімназії по вул. 8-го Березня, 44, м. Ужгород","3814,9"
Закарпатська область,"Капітальний ремонт терапевтичного відділення Ужгородської центральної міської клінічної лікарні по вул. Грибоєдова, м. Ужгород","1983,2"
Закарпатська область,"Реконструкція водогону Д-325 по вул. Можайського від вул. Минайської до вул. 8-го Березня, м. Ужгород","1381,5"
Закарпатська область,"Реконструкція пожежної насосної станції з РЧВ2 х 1000 куб. метрів в мікрорайоні “Сторожниця”, м. Ужгород","2328,8"
Закарпатська область,"Реконструкція каналізаційного колектора по вул. Тельмана, м. Ужгород","443,772"
Закарпатська область,Капітальний ремонт дороги від дорожнього знака с. Лази до будинку суботників довжиною 8 кілометрів Лазівської сільської ради Тячівського району,"3346,5"
Закарпатська область,"Капітальний ремонт дороги по вул. Борканюка (від бази відпочинку “Валило” до кінця населеного пункту), с. Новоселиця Тячівського району",780
Закарпатська область,"Капітальний ремонт дороги по вул. Шевченка (від межі населеного пункту до будинку № 55), в с. Тисолово Тячівського району",870
Закарпатська область,Капітальний ремонт ділянки дороги по вул. Миру (км 3 + 060 - км 3 + 608) у с. Руська Мокра Тячівського району,600
Закарпатська область,"Реконструкція існуючих будівель під дошкільний заклад в м. Рахів по вул. Б. Хмельницького, 105. Коригування",2920
Закарпатська область,"Капітальний ремонт дорожнього покриття по вул. Борканюка, м. Рахів",1042
Закарпатська область,Капітальний ремонт ділянки вул. Б. Хмельницького (від буд. № 96 до моста) у м. Рахів,481
Закарпатська область,"Капітальний ремонт дорожнього покриття по вулицях Борканюка, Миру, І. Франка, смт Ясіня Рахівського району","299,978"
Закарпатська область,Капітальний ремонт вулиці Б. Хмельницького (ділянка № 2 від будинку № 13 до вул. Борканюка) в смт Великий Бичків,"166,82"
Закарпатська область,Капітальний ремонт вул. Шевченка (ділянка № 1 від вул. Інтернаціональна до містка через потік “Млинівка”) в смт Великий Бичків,"653,8"
Закарпатська область,Капітальний ремонт вул. Шевченка (ділянка № 2 від містка через потік “Млинівка” до будівлі № 35а) в смт Великий Бичків,"321,24"
Закарпатська область,Капітальний ремонт вул. Шевченка (ділянка № 3 від будинку № 109 до вул. 8 Березня) в смт Великий Бичків,"252,87"
Закарпатська область,Капітальний ремонт вул. Грицака (ділянка від вул. Грушевського до вул. Шевченка) в смт Великий Бичків,"208,76"
Закарпатська область,"Капітальний ремонт дороги по вул. Івана Франка, м. Хуст (перша черга від № 1 до р. Боронявка)",17500
Закарпатська область,"Капітальний ремонт автодороги по вул. Терешкова, с. Iрлява Ужгородського району","330,258"
Закарпатська область,"Капітальний ремонт мережі теплопостачання в м. Рахів, Закарпатської області, ділянка № 2","1,194,757"
Закарпатська область,"Капітальний ремонт мережі теплопостачання в м. Рахів, Закарпатської області, ділянка № 1: від розподільчого колодязя № 1 до бойлерної","906,84"
Закарпатська область,"Капітальний ремонт мережі теплопостачання в м. Рахів, Закарпатської області, ділянка № 3: від розподільчого колодязя № 2 до вул. Шевченка","1,316,781"
Закарпатська область,Капітальний ремонт вул. Леніна у селі Верхнє Водяне Рахівського району,"433,759"
Закарпатська область,Капітальний ремонт вул. 70-річчя Жовтня у селі Верхнє Водяне Рахівського району,"449,249"
Закарпатська область,"Капітальний ремонт дороги від дорожнього знаку с. Лази до будинку суботників довжиною 8,0 км, Лазівської сільської ради, Тячівського району, Закарпатської області","698,604"
Закарпатська область,"Капітальний ремонт будівлі в с. Тийглаш по вул. Сечені, 31 (ФАП), Ужгородського району Закарпатської області","396,487"
Закарпатська область,Капітальний ремонт ділянки місцевої автомобільної дороги обласного значення Шишлівці - КПП Малі Селменці в межах Паладь-Комарівецької сільської ради Ужгородського району Закарпатської області,"851,153"
Закарпатська область,Капітальний ремонт автодороги по вул. Шевченка в с. Ірлява Ужгородського району Закарпатської області,"1210,36"
Закарпатська область,"Капітальний ремонт вул. Шевченка км 1+184 - км 1+464 в с. Тур’ї Ремети, Перечинського району Закарпатської області",990
Закарпатська область,"Капітальний ремонт ділянки автомобільної дороги Тур’ї Ремети-Лумшори, км 0+000 - км 0+720 в межах Тур’я Реметівської сільської ради Перечинського району Закарпатської області",776
Закарпатська область,"Капітальний ремонт ділянки автомобільної дороги Тур’ї Ремети-Лумшори, км 11+340 - км 2+200 в межах Туричківської сільської ради Перечинського району Закарпатської області",776
Закарпатська область,"Капітальний ремонт приміщень відділення захворювання органів дихання стаціонару МДКЛ по вул. Бращайків, м. Ужгород","872,228"
Закарпатська область,Капітальний ремонт дороги по вул. Івана Франка у м. Хуст (II черга від річки Боронявка до автозаправної станції “ОККО”),3000
Закарпатська область,Капітальний ремонт автомобільної дороги місцевого значення Стройне-Тибава км 3+850-км 5+000,1010
Закарпатська область,Капітальний ремонт автомобільної дороги місцевого значення Стройне-Тибава км 5+000-км 6+150,1010
Закарпатська область,Капітальний ремонт автомобільної дороги місцевого значення Стройне-Тибава км 2+000-км 3+850,1490
Закарпатська область,Капітальний ремонт автомобільної дороги місцевого значення Стройне-Тибава км 6+150-км 8+000,1490
Запорізька область,Запорізька область,104 000
Запорізька область,"Реконструкція амбулаторії № 6 Центру первинної медико-санітарної допомоги № 2 по вул. Брюллова, 6, м. Запоріжжя","3,078,936"
Запорізька область,Капітальний ремонт автомобільної дороги до аеропорту від траси Харків - Сімферополь - Алушта - Ялта до вул. Блакитної в м. Запоріжжі (будівельні роботи),"8,921,064"
Запорізька область,"Реконструкція повітряної лінії електромереж по вул. Весняній, м. Василівка",162
Запорізька область,"Реконструкція повітряної лінії електромереж по вул. Каховській, м. Василівка",520
Запорізька область,"Реконструкція повітряної лінії електромереж по вул. Софіївській, м. Василівка",370
Запорізька область,"Реконструкція повітряної лінії електромереж по вул. Тополиній, м. Василівка",203
Запорізька область,"Капітальний ремонт будівлі комунального дошкільного навчального закладу № 6 “Васильок” у мікрорайоні 40 років Перемоги, 7, Василівської міської ради, м. Василівка (заміна вікон)",180
Запорізька область,"Капітальний ремонт будівлі комунального дошкільного навчального закладу № 5 “Сонечко” по вул. Шевченка, 81, Василівської міської ради, м. Василівка (заміна вікон)",200
Запорізька область,"Капітальний ремонт внутрішньої інженерної каналізаційної мережі по вул. Молодіжній, 1, 2, 3, 3а, смт Степногірськ Василівського району",644
Запорізька область,"Капітальний ремонт водозабірної свердловини по вул. Матросова, с. Балки Василівського району Запорізької обл.",281
Запорізька область,"Будівництво підвідного водопроводу до вулиць східної частини с. Скельки, Василівський район Запорізької обл.",450
Запорізька область,"Реконструкція вуличного освітлення по вул. Миру, буд. 1-68, та вул. Шкільна, буд. 1-116, с. Відножине, Василівський район Запорізької області",210
Запорізька область,"Реконструкція лінії зовнішнього електроосвітлення за адресою: Запорізька область, Василівський район, с. Степове, вул. 9 Травня, КТП 31/219 та вул. Миру, КТП 31/579",140
Запорізька область,"Капітальний ремонт дороги по вул. Миру (Леніна), с. Широке Василівського району Запорізької області",300
Запорізька область,Реконструкція повітряних ліній електромереж по вул. Миру в с. Зелений Гай Василівського району Запорізької області,150
Запорізька область,"Реконструкція дороги та мосту по вул. Горького, Приморська сільська рада Василівського району Запорізької області",300
Запорізька область,"Будівництво водогону у с. Кам’янське I відділення вул. Шкільна, вул. Гагаріна, пров. Клубний Василівського району Запорізької області, коригування",570
Запорізька область,"Капітальний ремонт Великобілозерської загальноосвітньої школи № 3 I-III ступеня Великобілозерської районної ради по вул. Луговій, 2 (заміна вікон та дверей)",200
Запорізька область,"Капітальний ремонт Великобілозерської загальноосвітньої школи № 5 I-III ступеня Великобілозерської районної ради по вул. Пархоменка, 65 (заміна вікон та дверей)",200
Запорізька область,"Капітальний ремонт ВЛ-0,22 кВт від КТП-5-7/327 вуличного освітлення за адресою: Запорізька обл., Великобілозерський р-н, с. Велика Білозерка",140
Запорізька область,"Дніпровська загальноосвітня школа I-III ступеня № 2, с. Дніпровка Кам’янсько-Дніпровського району Запорізької області - капітальний ремонт будівлі",900
Запорізька область,Іванівський навчально-виховний комплекс “Загальноосвітня школа I-III ступеня - дитячий садок” Кам’янсько-Дніпровської районної ради - заміна вікон,300
Запорізька область,Ясла-садок “Пролісок” с. Благовіщенка Кам’янсько-Дніпровського району Запорізької області - капітальний ремонт,500
Запорізька область,"Реконструкція водоводу по вул. Олімпійська від буд. № 1 до буд. № 32, по вул. Центральна від буд. № 478 до буд. № 596 в с. Велика Знам’янка Кам’янсько-Дніпровського району",500
Запорізька область,"Реконструкція двох водонапірних башт системи Рожновського ємністю 25 куб. метрів по вул. Василівській, с. Мирне Оріхівського району",244
Запорізька область,Капітальний ремонт покрівлі Кіровської амбулаторії на засадах практики сімейної медицини,100
Запорізька область,"Заміна вікон на металопластикові в Нестерянській спеціалізованій різнопрофільній загальноосвітній школі I-III ступеня, с. Нестерянка Оріхівського району - капітальний ремонт",300
Запорізька область,"Заміна вікон на металопластикові в Нестерянській дитячій музичній школі, с. Нестерянка Оріхівського району - капітальний ремонт",35
Запорізька область,"Капітальний ремонт глядацької зали будинку культури по вул. Б. Хмельницького, 39, смт Комишуваха Оріхівського району",480
Запорізька область,"Заміна вікон на металопластикові в навчально-виховному комплексі № 2 імені академіка В.А. Лазаряна, м. Оріхів - капітальний ремонт",200
Запорізька область,"Капітальний ремонт огорожі в навчально-виховному комплексі № 2 імені академіка В.А. Лазаряна, м. Оріхів",150
Запорізька область,"Заміна вікон та дверей в приміщеннях Новотавричеської загальноосвітньої школи I-III ступеня, с. Новотавричеське Оріхівського району - капітальний ремонт",500
Запорізька область,Освітлення с. Мала Токмачка Оріхівського району,120
Запорізька область,"Заміна вікон на металопластикові в ОКДНЗ “Дюймовочка”, м. Оріхів - капітальний ремонт",269
Запорізька область,"Заміна вікон та дверей в приміщенні Оріхівського КДНЗ “Сонечко”, м. Оріхів Оріхівського району Запорізької області - капітальний ремонт",500
Запорізька область,"Капітальний ремонт КДНЗ “Сонечко”, с. Димитрове Оріхівського району",500
Запорізька область,"Капітальний ремонт першого поверху Комишуваської амбулаторії загальної практики сімейної медицини по вул. Смірнова, 3, смт Комишуваха Оріхівського району Запорізької області",662
Запорізька область,"Заходи у сфері житлово-комунального господарства та благоустрою, м. Запоріжжя",6000
Запорізька область,Заходи у сфері житлово-комунального господарства та благоустрою у Вознесенському районі м. Запоріжжя,3000
Запорізька область,Заходи у сфері житлово-комунального господарства та благоустрою у Хортицькому районі м. Запоріжжя,3000
Запорізька область,"Здійснення заходів соціально-економічного розвитку Заводського та Дніпровського районів м. Запоріжжя, у тому числі заходів у сфері житлово-комунального господарства та благоустрою",12 000
Запорізька область,"Прибудова до Банівської загальноосвітньої школи Приморського району по вул. Маяковського, 43б, с. Банівка (реконструкція)",5176
Запорізька область,"Реконструкція існуючої будівлі під сільську лікарську амбулаторію по вул. Продольній, 4, с-ще Нове Мелітопольського району",3799
Запорізька область,"Поліклініка на 250 відвідувань по вул. Партизанській/Зоряній, смт Кушугум Запорізького району",3025
Запорізька область,"Реконструкція будівлі дошкільного навчального закладу № 144 Комунарського району м. Запоріжжя, реконструкція першого поверху житлового будинку по вул. Новокузнецькій, 20а, під амбулаторію сімейного лікаря в мікрорайоні “Південний” Комунарського району м. ",12 000
Запорізька область,"Поліклініка на 250 відвідувань по вул. Паризанській/Зоряній, смт Кушугум Запорізького району",12000
Запорізька область,Реконструкція водопровідної мережі по вул. Хрусталькова і вул. Чапаєва села Новоданилівка Оріхівського району,520
Запорізька область,"Капітальний ремонт комунального закладу “Великобілозерська загальноосвітня школа I-III ступенів № 5” Великобілозерської районної ради Запорізької області за адресою: Запорізька обл., Великобілозерський р-н, с. Велика Білозерка, вул. Пархоменка, 65","127,541"
Запорізька область,"Капітальний ремонт комунального закладу “Великобілозерська загальноосвітня школа I-III ступенів № 3” Великобілозерської районної ради Запорізької області за адресою: Запорізька обл., Великобілозерський р-н, с. Велика Білозерка, вул. Лугова, 2","437,751"
Запорізька область,Капітальний ремонт водопровідної мережі: м. Кам’янка-Дніпровська Запорізької області від вул. Первомайської до вул. Промислова,"595,531"
Запорізька область,"Реконструкція вуличного освітлення с. Іванівка вул. Щорса (Дружби) від КТП И1/644; вул. Чернігівська, вул. Чапаєва (Зоряна), вул. Космонавтів від КТП И6/419; вул. Чапаєва (Зоряна) від КТП И5/417; вул. Миру, вул. Гоголя, вул. Комсомольська (Щаслива), вул. ","791,897"
