oblast,title,amount raw,amount clean,smd,smd_manual,smd_all
Львівська область,"Реконструкція будівлі під хірургічне відділення на 40 ліжок Старосамбірської Центральної районної лікарні, м. Старий Самбір",6000,6000000,,125,125
Львівська область,"Будівництво, реконструкція, капітальний ремонт об’єктів Сокальського району, у тому числі:",9580,9580000,124,,124
Львівська область,"будівництво критого басейну 12,6 х 6,15 метра та чотирьох ванних кімнат для санаторної школи-інтернату I-III ступеня для дітей, хворих на сколіоз, м. Сокаль",1000,1000000,124,,124
Львівська область,"капітальний ремонт даху Народного дому, с. Нісмичі",145,145000,,124,124
Львівська область,"капітальний ремонт приміщення Народного дому, с. Велике",14,14000,,124,124
Львівська область,"капітальний ремонт Сокальського районного Народного дому, м. Сокаль",273704,273704,124,,124
Львівська область,"капітальний ремонт будівлі Народного дому, с. Переспа",170,170000,,124,124
Львівська область,"заміна віконних та дверних блоків у Народному домі, с. Хоробрів",22656,22656000,,124,124
Львівська область,"заміна віконних блоків у Народному домі, с. Бояничі",9517,9517000,,124,124
Львівська область,"капітальний ремонт будівлі Народного дому, с. Діброва",120273,120273,,124,124
Львівська область,"капітальний ремонт будівлі Народного дому, с. Воронів",43.12,43120,,124,124
Львівська область,"капітальний ремонт будівлі Народного дому, с. Острівок",79755,79755,,124,124
Львівська область,"капітальний ремонт приміщення будинку культури, с. Перемисловичі",170,170000,,124,124
Львівська область,"капітальний ремонт Народного дому, с. Двірці",66775,66775,,124,124
Львівська область,"капітальний ремонт і термомодернізація приміщення Народного дому, с. Борове",92473,92473,,124,124
Львівська область,"капітальний ремонт даху Народного дому, с. Горбків",174,174000,,124,124
Львівська область,"капітальний ремонт приміщення Народного дому, с. Поториця",12,12000,,124,124
Львівська область,"капітальний ремонт підлоги у глядацькому залі Народного дому, с. Тудорковичі",136796,136796,,124,124
Львівська область,"капітальний ремонт відкритого танцювального майданчика Народного дому, с. Корчів",135,135000,,124,124
Львівська область,"капітальний ремонт приміщення педіатричного відділення Сокальської центральної районної лікарні, м. Сокаль",158891,158891,124,,124
Львівська область,"капітальний ремонт будівлі інфекційного відділення Сокальської центральної районної лікарні, м. Сокаль",96.62,96620,124,,124
Львівська область,"капітальний ремонт будівлі фельдшерсько-акушерського пункту, с. Домашів",65431,65431,,124,124
Львівська область,"будівництво вуличного освітлення, с. Матів",95796,95796,,124,124
Львівська область,"реконструкція вуличного освітлення, с. Переспа",80,80000,,124,124
Львівська область,"будівництво вуличного освітлення, с. Куличків",112424,112424,,124,124
Львівська область,"реконструкція вуличного освітлення, с. Тудорковичі",96419,96419,,124,124
Львівська область,"капітальний ремонт з технічного переоснащення системи центрального і вуличного освітлення, с. Шпиколоси",199707,199707,,124,124
Львівська область,ремонт дороги Сокаль - Стоянів (відрізок - с. Тартаків - межа Сокальського і Радехівського районів),3108,3108,,124,124
Львівська область,"реконструкція спортивної споруди по вул. Шевченка, 15, м. Великі Мости",107017,107017,,124,124
Львівська область,"встановлення дитячого майданчика, с. Боб’ятин",46948,46948,,124,124
Львівська область,"капітальний ремонт (благоустрій території) біля пам’ятника полеглим воїнам по вул. Шевченка, с. Домашів",107864,107864,,124,124
Львівська область,"завершення будівництва та огородження кладовища, с. Переспа",129932,129932,,124,124
Львівська область,"капітальний ремонт даху приміщення дошкільного навчального закладу, с. Горбків",79,79000,,124,124
Львівська область,"капітальний ремонт (модернізація системи опалення) дитячої дошкільної установи, м. Белз",141993,141993,,124,124
Львівська область,"капітальний ремонт приміщень ясел-садка комбінованого типу № 1 по вул. Шептицького, 117, м. Сокаль",137972,137972,124,,124
Львівська область,"капітальний ремонт нежитлового приміщення ясла-садка комбінованого типу № 8 по вул. Героїв УПА, 63, м. Сокаль",137545,137545,124,,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) приміщення дошкільного навчального закладу, с. Поториця",73695,73695,,124,124
Львівська область,"капітальний ремонт (модернізація системи опалення) у дошкільному навчальному закладі “Сонечко”, с. Войславичі",103883,103883,,124,124
Львівська область,"капітальний ремонт приміщення дитячої дошкільної установи, с. Хлівчани",72405,72405,,124,124
Львівська область,"капітальний ремонт котельні навчально-виховного комплексу “ЗШ I-II ступеня - дитячий садок”, с. Муроване",293.44,293440,,124,124
Львівська область,"капітальний ремонт навчально-виховного комплексу “ЗШ I-II ступеня - дитячий садок”, с. Себечів",35888,35888,,124,124
Львівська область,"капітальний ремонт навчально-виховного комплексу “ЗШ I-III ступеня - дитячий садок”, с. Двірці",181252,181252,,124,124
Львівська область,"капітальний ремонт Великомостівського навчально-виховного комплексу “ЗШ I-III ступеня - ліцей”, м. Великі Мости",271878,271878,,124,124
Львівська область,"капітальний ремонт навчально-виховного комплексу “ЗШ I-II ступеня - дитячий садок”, с. Діброва",80.32,80320,,124,124
Львівська область,"капітальний ремонт приміщення Сокальського навчально-виховного комплексу “ЗШ I-III ступеня № 2 - ліцей”, м. Сокаль",298808,298808,124,,124
Львівська область,"капітальний ремонт приміщення загальноосвітньої школи I-II ступеня, с. Горбків",,0,,124,124
Львівська область,"капітальний ремонт загальноосвітньої школи I-II ступеня, с. Матів",50838,50838,,124,124
Львівська область,"капітальний ремонт загальноосвітньої школи I-II ступеня, с. Стаївка",183857,183857,,124,124
Львівська область,"капітальний ремонт загальноосвітньої школи I-III ступеня, смт Жвирка",183997,183997,,124,124
Львівська область,"капітальний ремонт загальноосвітньої школи I-III ступеня, с. Стенятин",183111,183111,,124,124
Львівська область,"Капітальний ремонт, реконструкція, будівництво об’єктів, мм. Червоноград, Соснівка, у тому числі:",2000,2000000,124,,124
Львівська область,"капітальний ремонт будівлі дошкільного навчального закладу ясел-садка № 12 (заміна вікон та утеплення стін фасаду) по вул. Шухевича, 4, м. Червоноград",75,75000,124,,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) дошкільного навчального закладу ясел-садка № 13 по вул. Шухевича, 7, м. Червоноград",41,41000,124,,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) дошкільного навчального закладу ясел-садка № 17 по вул. Шептицького, 35, м. Червоноград”",75,75000,124,,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) дошкільного навчального закладу ясел-садка № 18 по вул. Бандери, 45, м. Червоноград",72,72000,124,,124
Львівська область,"капітальний ремонт будівлі навчально-виховного комплексу № 10 (заміна вікон) по вул. Шухевича, 1, м. Червоноград",75,75000,124,,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) навчально-виховного комплексу № 13 по вул. Театральній, 14а, м. Соснівка",75,75000,,124,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) навчально-виховного комплексу “СШ-колегіум” № 3 по вул. Корольова, 11, м. Червоноград",75,75000,124,,124
Львівська область,"реконструкція Соснівської дитячої музичної школи, м. Соснівка",90,90000,,124,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) Червоноградської загальноосвітньої школи № 4, м. Червоноград",75,75000,124,,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) Червоноградської загальноосвітньої школи I-III ступеня № 1 по вул. Клюсівській, 19, м. Червоноград",75,75000,124,,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) Червоноградської загальноосвітньої школи № 5 по вул. Грінченка, 9, м. Червоноград",75,75000,124,,124
Львівська область,"капітальний ремонт будівлі (заміна вікон) Червоноградської загальноосвітньої школи I-III ступеня № 7 по вул. Шептицького, 2, м. Соснівка",75,75000,124,,124
Львівська область,"капітальний ремонт Червоноградської загальноосвітньої школи I-III ступеня № 14 по вул. Галицькій, 3, м. Соснівка",75,75000,124,,124
Львівська область,"капітальний ремонт будівлі Червоноградської гімназії (заміна вікон) по вул. С. Бандери, 17а, м. Червоноград",75,75000,124,,124
Львівська область,"капітальний ремонт із заміною старих вікон на нові енергозберігаючі у бібліотеках - філіях № 4 і 9, м. Червоноград",57,57000,124,,124
Львівська область,"будівництво кладовища, м. Червоноград",915,915000,124,,124
Львівська область,"Будівництво, капітальний ремонт об’єктів Кам’янка-Бузького району, у тому числі:встановлення мультиігрового комплексу по вул. Сагайдачного, смт Добротвір будівництво автономного вуличного освітлення по вул. Озерній, смт Добротвір капітальний ремонт Народн",420,420000,119,,119
Львівська область,"Реконструкція великого плавального басейну з допоміжними приміщеннями дитячо-юнацької спортивної школи по вул. Сахарова, 2а, м. Дрогобич",7805,7805000,,121,121
Львівська область,"Реконструкція теплового пункту з встановленням теплового насоса для підігріву великого плавального басейну з допоміжними приміщеннями дитячо-юнацької спортивної школи по вул. Сахарова, 2а, м. Дрогобич",4195,4195000,,121,121
Львівська область,"Капітальний ремонт вул. Д. Загули, у тому числі виготовлення проектно-кошторисної документації (м. Львів)",1400,1400000,,118,118
Львівська область,"Капітальний ремонт вул. Млинова, у тому числі виготовлення проектно-кошторисної документації (м. Львів)",1400,1400000,,118,118
Львівська область,"Капітальний ремонт вул. Ланова, у тому числі виготовлення проектно-кошторисної документації (м. Львів)",1200,1200000,,118,118
Львівська область,"Капітальний ремонт Лопатинської районної лікарні по вулиці Січових Стрільців, 27 в смт Лопатин Радехівського району Львівської області. Заміна покрівлі",478.1,478100,119,,119
Львівська область,"Капітальний ремонт об’єктів Радехівської ЦРЛ по вулиці Львівській, 8 в м. Радехові Львівської області. Заміна покрівлі дитячого відділення",285.7,285700,119,,119
Львівська область,Закупівля світлового та звукового обладнання для Радехівського районного Народного дому,198,198000,119,,119
Львівська область,Закупівля музичних інструментів для Радехівської дитячої музичної школи імені Ігоря Білозіра,232.18,232180,119,,119
Львівська область,Реконструкція незавершеного будівництва Народного дому під дитячу дошкільну установу “Малюк” в смт Красне Буського району Львівської області,589635,589635,119,,119
Львівська область,Реконструкція внутрішніх мереж опалення районної лікарні в м. Буськ Буського району Львівської області,1524132,1524132,119,,119
Львівська область,Капітальний ремонт будівлі ЗОШ I ступеня в с. Піски Бродівського району,650,650000,119,,119
Львівська область,"Пологове відділення на 30 ліжок Бродівської центральної районної лікарні, м. Броди - реконструкція",2236233,2236233,119,,119
Львівська область,"Реконструкція з розширенням середньої загальноосвітньої школи № 41, вул. Макаренка, 19, смт Брюховичі, м. Львів",5000,5000000,,116,116
Львівська область,"Капітальний ремонт будівлі котельні Белзької районної лікарні, м. Белз, Сокальського району",68,68000,124,,124
Львівська область,"Капітальний ремонт амбулаторії загальної практики сімейної медицини, с. Лучиці, Сокальського району",87.2,87200,124,,124
Львівська область,"Капітальний ремонт приміщення амбулаторії загальної практики сімейної медицини, с. Хлівчани, Сокальського району",287.85,287850,124,,124
Львівська область,"Капітальний ремонт приміщення фельдшерсько-акушерського пункту, с. Угринів, Сокальського району",271.6,271600,124,,124
Львівська область,"Капітальний ремонт приміщення фельдшерсько-акушерського пункту, с. Переспа, Сокальського району",98.1,98100,124,,124
Львівська область,"Капітальний ремонт приміщення наркологічного відділення Сокальської центральної районної лікарні, м. Сокаль",82.5,82500,124,,124
Львівська область,"Капітальний ремонт фізіотерапевтичного відділення (водолікування) комунального закладу Сокальської районної ради Львівської області “Сокальська центральна районна лікарня”, м. Сокаль",145.63,145630,124,,124
Львівська область,Реконструкція водопровідної мережі смт Жвирка Сокальського району Львівської області (резервна лінія водопроводу з м. Сокаль до смт Жвирка),750,750000,124,,124
Львівська область,"Капітальний ремонт даху приміщення Народного дому по вул. Сокольській, с. Шпиколоси, Сокальського району",250,250000,124,,124
Львівська область,"Капітальний ремонт приміщення Народного дому, с. Зубків, Сокальського району",97.1,97100,124,,124
Львівська область,"Будівництво дитячого садка-ясел на 90 місць, с. Сілець, Сокальського району",383,383000,124,,124
Львівська область,"Будівництво мереж зовнішнього (вуличного) освітлення с. Домашів, вул. Шевченка",295.87,295870,,124,124
Львівська область,"Реконструкція вуличного освітлення, с. Переспа, Сокальського району",183.15,183150,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Белзька в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,60,60000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Бобинського в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,230,230000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Богуна в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,120,120000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Олеся в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,70,70000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Будівельна в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,154,154000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Грінченка в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,230,230000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Мазепи в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,230,230000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення в парку Шевченка в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,290,290000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Шухевича в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,296,296000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Л. Українки в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,100,100000,124,,124
Львівська область,Реконструкція мережі зовнішнього освітлення по вул. Залізнична в м. Червонограді Львівської області з використанням енергозберігаючих технологій із заміною світильників на основі ламп розжарення на світильники на основі LED технологій,220,220000,124,,124
Львівська область,"Народний дім “Просвіта” на 250 місць в с. Бучали Городоцького району Львівської області. Будівництво, коригування",2438.7,2438700,120,,120
Львівська область,"Будівництво загальноосвітньої школи I-III ступеня, с. Суховоля Городоцького району Львівської області",1309.1,1309100,120,,120
Львівська область,Будівництво ЗОШ I-II ступенів в с. Братковичі Городоцького району Львівської області,670,670000,120,,120
Львівська область,"Реконструкція приміщення КЗ “Самбірська центральна районна лікарня” на вул. Січових Стрільців, 11 смт Дубляни Самбірського району Львівської області",500,500000,120,,120
Львівська область,Аварійно-відновлювальні роботи пішохідного містка на р. Спринька в с. Сприня (біля церкви) Самбірського району Львівської області після повені 15-18.05.2014 року (реконструкція). Коригування,82.2,82200,120,,120
Львівська область,Реконструкція нежитлової будівлі колишнього дитячого садка під дитячий садок на 45 місць в с. Лисятичі Стрийського району Львівської області,2197,2197000,126,,126
Львівська область,Будівництво теплогенераторної та влаштування системи опалення навчально-виховного комплексу “Середня загальноосвітня школа-гімназія імені Маркіяна Шашкевича” в селі Дуліби Стрийського району Львівської області. Коригування,613,613000,126,,126
Львівська область,Капітальний ремонт внутрішніх приміщень дошкільного навчального закладу “Веселка” в с. Лисовичі Стрийського району Львівської області,1490,1490000,126,,126
Львівська область,Капітальний ремонт віконних прорізів в НВК “Лисовицька СЗОШ I-III ст.-ліцей” по вул. Шкільній 17 в с. Лисовичі Стрийського району Львівської області,700,700000,126,,126
Львівська область,"Реконструкція котельні та системи опалення із встановленням твердопаливного котла в котельні № 2 комунального закладу Старосамбірської районної ради “Старосамбірська ЦРЛ” по вул. Л. Українки, буд. 9, в м. Старий Самбір Львівської області",156863,156863,,125,125
Львівська область,"Реконструкція котельні та системи опалення із встановленням твердопаливного котла в котельні геріатричного відділення Комунального закладу Старосамбірської районної ради “Старосамбірська ЦРЛ” по вул. Шевченка, буд. 8, с. Стрілки Старосамбірського району Л",176.47,176470,120,,120
Львівська область,Реконструкція котельні та системи опалення із встановленням твердопаливного котла в котельні інфекційного відділення комунального закладу Старосамбірської районної ради “Старосамбірська ЦРЛ” в с. Скелівка Старосамбірського району Львівської області,186274,186274,120,,120
Львівська область,"Реконструкція котельні та системи опалення із встановленням твердопаливного котла в котельні хоспісного відділення з наданням паліативної допомоги комунального закладу Старосамбірської районної ради “Старосамбірська ЦРЛ” по вул. Шевченка, буд. 7, смт Нижа",176.47,176470,120,,120
Львівська область,"Реконструкція котельні та системи опалення із встановленням твердопаливного котла в котельні поліклінічного відділення Хирівської міської лікарні по вул. Івасюка, 7, м. Хирів, Старосамбірського району Львівської області.",156863,156863,120,,120
Львівська область,"Реконструкція котельні та системи опалення із встановленням твердопаливного котла в котельні стаціонарного відділення Хирівської міської лікарні по вул. Б. Хмельницького, 12, м. Хирів Старосамбірського району Львівської області",156863,156863,120,,120
Львівська область,"Реконструкція котельні та системи опалення із встановленням твердопаливного котла в котельні стаціонарного відділення Добромильської РНЛ по вул. Міцкевича, 3, м. Добромиль, Старосамбірського району Львівської області",156863,156863,120,,120
Львівська область,"Реконструкція котельні та системи опалення із встановленням твердопаливного котла в котельні поліклінічного відділення Добромильської РНЛ по вул. Горького, 10, м. Добромиль, Старосамбірського району Львівської області.",156863,156863,120,,120
Львівська область,"Реконструкція та встановлення модульної котельні з твердопаливним котлом в Турківській школі-інтернаті I-II ступеня по вул. Василя Стуса, 4, м. Турка, Львівської області",1421569,1421569,125,,125
Львівська область,Будівництво загальноосвітньої школи I-III ст. на 360 учнівських місць в с. Нижня Яблунька Турківського району Львівської області (на встановлення модульної котельні з твердопаливним котлом),1421569,1421569,125,,125
Львівська область,"Реконструкція котельні та встановлення твердопаливного котла в Боринському ліцеї народних промислів та ремесел на вул. Вояків УПА, 1 смт Бориня, Турківського району Львівської області",833333,833333,125,,125
Львівська область,"Реконструкція даху Народного дому по вул. Шевченка, 3 с. Лагодів Перемишлянського району",998.2,998200,123,,123
Львівська область,Будівництво бічних колекторів каналізаційної мережі по вул. У. Кравченко у м. Новий Розділ Львівської області,524321,524321,123,,123
Львівська область,Будівництво каналізаційної насосної станції по вул. Т. Шевченка в м. Новий Розділ Львівської області,390283,390283,123,,123
Львівська область,Будівництво напірного колектора господарсько-побутової каналізації по вул. Шевченка у м. Новий Розділ Львівської області,140.11,140110,123,,123
Львівська область,Капітальний ремонт по заміні дерев’яних дверних та віконних блоків на металопластикові в Липівській ЗОШ I-III ступенів Миколаївського району Львівської області,199,199000,123,,123
Львівська область,Реконструкція вуличного освітлення в с. Бібщани Золочівського району Львівської області,161,161000,123,,123
Львівська область,Реконструкція вуличного освітлення на вулиці Веселій в с. Лани Перемишлянського району Львівської області,200,200000,123,,123
Львівська область,Реконструкція ліній вуличного освітлення в с. Станимир Перемишлянського району Львівської області,160,160000,123,,123
Львівська область,Капітальний ремонт даху у ФАПі в с. Велика Вільшаниця Золочівського району Львівської області,238,238000,123,,123
Львівська область,Реконструкція водопровідної мережі по вул. Зарічна в м. Бібрка Перемишлянського району Львівської області,827838,827838,123,,123
Львівська область,Капітальний ремонт вуличного електроосвітлення в с. Залісся Золочівського району Львівської області,136607,136607,123,,123
Львівська область,Капітальний ремонт Народного дому с. Під’ярків Перемишлянського району Львівської області,80,80000,123,,123
Львівська область,Капітальний ремонт Народного дому с. Вороняки Золочівського району Львівської області,200.7,200700,123,,123
Львівська область,Заходи з енергозбереження ДНЗ “Сонечко” м. Перемишляни (заміна дверей та вікон) Перемишлянського району Львівської області,300,300000,123,,123
Львівська область,Енергозбереження в Перемишлянській ЗОШ I-III ст. № 2 ім. О. Ковча Перемишлянського району Львівської області,300,300000,123,,123
Львівська область,Зовнішнє електропостачання каналізаційної очисної системи Глинянської міської ради на вул. Лісні у м. Глиняни Золочівського району Львівської області,1171187,1171187,123,,123
Львівська область,Будівництво спортивного майданчика в с. Розвадів Миколаївського району Львівської області,289,289000,123,,123
Львівська область,Встановлення світлофора та влаштування освітлення на пішоходному переході автомобільної дороги М-06 Київ-Чоп в с. Розвадів Миколаївського району Львівської області,162,162000,123,,123
