oblast,title,amount raw,amount clean,smd,smd_manual,smd_all
Київська область,"Капітальний ремонт дороги по вул. Зелений гай в с. Сошників, Бориспільського району Київської області", $637.69 ," $637,690.00 ",98,,98
Київська область,Капітальний ремонт дорожнього покриття проїзної частини вул. Калинова в с. Рогозів Бориспільського району Київської області," $1,225.16 "," $1,225,158.00 ",98,,98
Київська область,Капітальний ремонт дороги по вул. Садова в с. Вишеньки Бориспільського району Київської області," $1,049.76 "," $1,049,756.00 ",98,,98
Київська область,"Капітальний ремонт дорожнього покриття вул. Гагаріна, с. Сотниківка Яготинського району Київської області"," $1,470.00 "," $1,470,000.00 ",,98,98
Київська область,Реконструкція мережі освітлення в’їзної групи по вул. Свято-Покровській у селищі Гостомелі м. Ірпеня Київської області," $1,400.00 "," $1,400,000.00 ",,95,95
Київська область,"Капітальний ремонт будівлі КП “Банно-оздоровчий комплекс” у м. Боярці по вул. Б. Хмельницького, 111"," $1,280.00 "," $1,280,000.00 ",,95,95
Київська область,"Будівництво парку майстрів, прилеглої території до ЦНАП, с. Трипілля, Обухівський район"," $1,500.00 "," $1,500,000.00 ",94,,94
Київська область,Будівництво футбольного майданчика для сільської школи с. Данилівка," $1,120.00 "," $1,120,000.00 ",,94,94
Київська область,Термомодернізація дитячого садочку з утепленням стін і будівництвом окремої твердопаливної котельні на території дитячого садочку в с. Безп’ятне," $1,250.00 "," $1,250,000.00 ",,94,94
Київська область,Капітальний ремонт будівлі Данилівської загальноосвітньої школи I-III ступенів в с. Данилівка Васильківського району Київської області," $1,130.00 "," $1,130,000.00 ",94,,94
Київська область,"Капітальний ремонт амбулаторії загальної практики сімейної медицини в селі Федорівка вул. Леніна, 24, Вишгородського району, Київської області"," $1,223,976.00 "," $1,223,976.00 ",96,,96
Київська область,"Капітальний ремонт фасаду (утеплення) Литвинівської ЗОШ в с. Литвинівка, Вишгородського району, Київської області"," $758,878.00 "," $758,878.00 ",96,,96
Київська область,Капітальний ремонт Ровівської ЗОШ I-II ступенів Вишгородського району Київської області," $743,968.00 "," $743,968.00 ",96,,96
